id,url,name,category,review_count,blog_review_count,address,phone_number,operation_info
새마을떡방앗간,경기 수원시 장안구 덕영대로417번길 52-44
피자나라치킨공주 수원천천점,경기 수원시 장안구 하률로12번길 5
인쌩맥주 성균관대점,경기 수원시 장안구 서부로2123번길 17
리코베이커리,경기 수원시 장안구 정자로42번길 52
BBQ 수원천천점,경기 수원시 장안구 정자로20번길 15
오서산콩국수 수원점,경기 수원시 장안구 정자로32번길 12
카페다움,경기 수원시 장안구 서부로2126번길 9
일품마라탕 성대점,경기 수원시 장안구 율전로 92
우리집밥,경기 수원시 장안구 서부로2106번길 26-2
타코야끼전문점쪼코야끼,경기 수원시 장안구 서부로2126번길 38
킹고하우스,경기 수원시 장안구 서부로2106번길 21
연해물찜칼국수,경기 수원시 장안구 정자로 8
백억커피 서수원점,경기 수원시 장안구 서부로2106번길 26-3
모앤더비,경기 수원시 장안구 율전로 105
만취,경기 수원시 장안구 화산로233번길 38
이가네삼대째손두부 본점,경기 수원시 장안구 정자천로13번길 13-24
스타디움 펍,경기 수원시 장안구 화산로213번길 11
이까야,경기 수원시 장안구 서부로2105번길 12
족도사족발,경기 수원시 장안구 덕영대로425번길 44
앙포네,경기 수원시 장안구 화산로233번길 47
홍대장소고기집 천천직영점,경기 수원시 장안구 정자로 39
또래오래 성대율전점,경기 수원시 장안구 율전로101번길 49
따숲닭 본점,경기 수원시 장안구 화산로233번길 38
르뱅베이커리,경기 수원시 장안구 서부로2135번길 13
고씨네카레 수원성대점,경기 수원시 장안구 서부로2105번길 21
메가후르츠 수원성균관대점,경기 수원시 장안구 서부로2105번길 13
쉬즈베이글 성대점,경기 수원시 장안구 서부로2106번길 22
삼봉집,경기 수원시 장안구 덕영대로511번길 29-12
희망김밥,경기 수원시 장안구 율전로97번길 15
찌개와조림,경기 수원시 장안구 서부로 2139
플러스82 성균관대점,경기 수원시 장안구 서부로2106번길 26-36
더에이치바 율전동,경기 수원시 장안구 서부로2136번길 10
플레이바,경기 수원시 장안구 화산로233번길 18
남해식당,경기 수원시 장안구 덕영대로425번길 40
육수당 수원성균관대점,경기 수원시 장안구 서부로 2113
인피펍 성대점,경기 수원시 장안구 화산로233번길 35
오디디,경기 수원시 장안구 율전로108번길 10-1
배떡 성균관대점,경기 수원시 장안구 하률로 17
산들애 버섯이야기,경기 수원시 장안구 서부로2207번길 26
MLMC,경기 수원시 장안구 덕영대로535번길 28
한아스콘,경기 수원시 장안구 율전로101번길 13
하삼동커피 수원성균관점,경기 수원시 장안구 서부로2126번길 17
두마리찜닭두찜 수원율천점,경기 수원시 장안구 서부로2197번길 40
다소니,경기 수원시 장안구 정자로20번길 21
미는샐러드,경기 수원시 장안구 율전로 76
예국향,경기 수원시 장안구 서부로2106번길 32
국졔식당,경기 수원시 장안구 서부로2126번길 29
이모스떡볶이,경기 수원시 장안구 율전로101번길 20
나그네족발 보쌈 직영점,경기 수원시 장안구 하률로30번길 49
십인치,경기 수원시 장안구 화산로233번길 56
아이스크림스토리 수원성대점,경기 수원시 장안구 서부로2126번길 31
해피톡,경기 수원시 장안구 율전로 107
곱창홀릭,경기 수원시 장안구 율전로101번길 53-3
아덴블랑제리 수원천천점,경기 수원시 장안구 정자로19번길 18
퓨전포차 인생술집,경기 수원시 장안구 서부로2126번길 9
호시타코야끼 성대점,경기 수원시 장안구 서부로2106번길 26-3
카페오픈24 율전점,경기 수원시 장안구 화산로 263
60판왕뚜껑삼겹살 율전뜨란채점,경기 수원시 장안구 상률로46번길 25
무진장김치찌개 천천점,경기 수원시 장안구 정자로20번길 7
행컵 성균관대점,경기 수원시 장안구 서부로2126번길 30
유유진진,경기 수원시 장안구 덕영대로497번길 14-17
HYOM,경기 수원시 장안구 서부로 2207
부뚜막백반&김치찜 성대점,경기 수원시 장안구 정자천로13번길 136
포명천천더차이니즈,경기 수원시 장안구 덕영대로535번길 46
옥집,경기 수원시 장안구 율전로108번길 20
업텐브로피자 성대점,경기 수원시 장안구 서부로2126번길 24
크레이저 커피 수원성대점,경기 수원시 장안구 율전로108번길 20
본죽&비빔밥cafe 율전상률초점,경기 수원시 장안구 서부로2181번길 39
달콤한사람들,경기 수원시 장안구 덕영대로497번길 12
낙원떡집,경기 수원시 장안구 율전로 105
성대포명천 율전점,경기 수원시 장안구 율전로101번길 54
율전동,경기 수원시 장안구 화산로233번길 59
봉다방,경기 수원시 장안구 율전로108번길 11
포레스트오늘숲 수원천천점,경기 수원시 장안구 만석로5번길 6
남도토박이,경기 수원시 장안구 덕영대로497번길 22-10
전주생막걸리,경기 수원시 장안구 서부로2105번길 21
착한식당,경기 수원시 장안구 서부로 2149
우진떡집,경기 수원시 장안구 덕영대로381번길 72
디아,경기 수원시 장안구 율전로64번길 12-27
금별맥주 성균관대역점,경기 수원시 장안구 화산로233번길 59
곱창골 수원본점,경기 수원시 장안구 하률로 17-1
본도시락 수원성균관대점,경기 수원시 장안구 서부로2126번길 30
족발더하기,경기 수원시 장안구 하률로30번길 45-16
자피,경기 수원시 장안구 화산로213번길 9-3
